kanji,hiragana,katakana,lastmemo,memotime,trans,book,lesson,sentence,SessionName,CorrectlyMemo,ErrorInMemo
森さんは学生ではありません,もりさんはがくせいではありません,モリさんハガクセイデハアリマセン,2023-06-10T06:51:32.895Z,0,森先生不是学生,1,1,2,,FALSE,FALSE
李さんは中国人です,りさんはちゅうごくじんです,リサンハチュウゴクジンデス,2023-06-08T06:51:32.961Z,0,小李是中国人,1,1,1,,FALSE,FALSE
林さんは日本人ですが,はやしさんはにほんじんですか,ハヤシサンハニホンジンデスカ,2023-06-08T06:51:32.962Z,0,林先生是日本人吗,1,1,3,,FALSE,FALSE
李さんはJC企画の社Tです,りさんはじぇ`し`きかくのしゃいんです,リサンハジェ`シ`キカクノシャインデス,2023-06-08T06:51:32.963Z,0,李先生是JC企画的员工,1,1,4,,FALSE,FALSE
これは本です,これはほんです,コレハホンデス,2023-06-08T06:51:32.963Z,0,这是书,1,2,1,,FALSE,FALSE
それは何ですか,それはなんですか,ソレハナンデスカ,2023-06-08T06:51:32.963Z,0,那是什么,1,2,2,,FALSE,FALSE
あれはだれの悚扦工,あれはだれのかさですか,アレハダレノカサデスカ,2023-06-08T06:51:32.963Z,0,那是谁的伞,1,2,3,,FALSE,FALSE
このカメラはスミスさんのです,このかめらはすみすさんのです,コノカメラハスミスサンノデス,2023-06-08T06:51:32.963Z,0,这个照相机是史密斯先生的,1,2,4,,FALSE,FALSE
ここはデパ`トです,ここはでぱ`とです,ココハデパ`トデス,2023-06-08T06:51:32.963Z,0,这里是百货商店,1,3,1,,FALSE,FALSE
食堂はデパ`トの７Aです,しょくどうはでぱ`とのななかいです,ショクドウハデパ`トノナナカイデス,2023-06-08T06:51:32.963Z,0,食堂在百货商店的7层,1,3,2,,FALSE,FALSE
あそこもJC企画のビルです,あそこもじぇ`し`きかくのびるです,アソコモジェ`シ`キカクノビルデス,2023-06-08T06:51:32.963Z,0,那里也是JC企画的大厦,1,3,3,,FALSE,FALSE
かばん婴訾希彪Aですか、２Aですか,かばんうりばはいっかいですか、にかいですか,カバンウリバハイッカイデスカ、ニカイデスカ,2023-06-08T06:51:32.963Z,0,包的大卖场在1层，还是2层,1,3,4,,FALSE,FALSE
部屋に机と椅子があります,へやにつくえといすがあります,ヘヤニツクエトイスガアリマス,2023-06-08T06:51:32.963Z,0,屋里有桌子和椅子,1,4,1,,FALSE,FALSE
机の上に猫がいます,つくえのうえにねこがいます,ツクエノウエニネコガイマス,2023-06-08T06:51:32.963Z,0,桌子上面有猫,1,4,2,,FALSE,FALSE
拥辘像kの外にあります,ばいてんはえきのそとにあります,バイテンハエキノソトニアリマス,2023-06-08T06:51:32.963Z,0,打折店在车站外面,1,4,3,,FALSE,FALSE
吉田さんは庭にいます,よしださんはにわにいます,ヨシダサンハニワニイマス,2023-06-08T06:51:32.963Z,0,吉田先生在院子里,1,4,4,,FALSE,FALSE
今４rです,いまよじです,イマヨジデス,2023-06-08T06:51:32.963Z,0,现在4点了,1,5,1,,FALSE,FALSE
森さんは７rに起きます,もりさんはしちじにおきます,モリサンハシチジニオキマス,2023-06-08T06:51:32.963Z,0,森先生7点起床,1,5,2,,FALSE,FALSE
森さんは先L休みました,もりさんはせんしゅうやすみました,モリサンハセンシュウヤスミマシタ,2023-06-08T06:51:32.963Z,0,森先生上周休息,1,5,3,,FALSE,FALSE
私は昨日Pきませんでした,わたしはきのうはたらきませんでした,ワタシハキノウハタラキマセンデシタ,2023-06-08T06:51:32.963Z,0,我昨天没上班,1,5,4,,FALSE,FALSE
吉田さんは来月中国へ行きます,よしださんはらいげつちゅうごくへいきます,ヨシタサンハライゲツチュウゴクヘイクマス,2023-06-08T06:51:32.963Z,0,森先生下个月去中国,1,6,1,,FALSE,FALSE
李さんは先月北京から来ました,りさんはせんげつぺきんからきました,リサンハセンゲツペキンカラキマシタ,2023-06-08T06:51:32.963Z,0,李先生上个月从北京来,1,6,2,,FALSE,FALSE
小野さんは友_とりました,おのさんはともだちかえりました,オノサンハトモダチトカエリマシタ,2023-06-08T06:51:32.963Z,0,小野女士和朋友一起回去了,1,6,3,,FALSE,FALSE
森さんは|京からuまで新志で行きます,もりさんはとうきょうからひろしままでしんかんせんでいきます,モリサンハトウキョウカラヒロシママデシンカンセンデイキマス,2023-06-08T06:51:32.963Z,0,森先生坐新干线从东京到广岛,1,6,4,,FALSE,FALSE
李さんは叭榨畅`ヒ`をみます,りさんはまいにちこ`ひ`をのみます,リサンハマイニチコ`ヒ`ヲノミサス,2023-06-08T06:51:32.963Z,0,李先生每天都喝咖啡,1,7,1,,FALSE,FALSE
李さんは^で勉します,りさんはとしょかんでべんきょうします,リサンハトショカンデベンキョウシマス,2023-06-08T06:51:32.963Z,0,李先生正在图书馆学习,1,7,2,,FALSE,FALSE
私は俺パンかお粥をたべます,わたしはまいあさばんかおかゆをたべます,ワタシハマイアサパンカオカユヲタベマス,2023-06-08T06:51:32.963Z,0,我每天早上喝粥吃面包,1,7,3,,FALSE,FALSE
コ`ラとケ`キをください,こ`らとけ`きをください,コ`ラトケ`キヲクダサイ,2023-06-08T06:51:32.963Z,0,请给我可乐和蛋糕,1,7,4,,FALSE,FALSE
